NAME,ID,missing Finder,,id,name,,
2112 W Peterson Ave,1,,,1,2112 W Peterson Ave,,
63rd St Beach,2,,,2,63rd St Beach,,
900 W Harrison St,3,,,3,900 W Harrison St,,
Aberdeen St & Jackson Blvd,4,,,4,Aberdeen St & Jackson Blvd,,
Aberdeen St & Madison St,5,,,5,Aberdeen St & Madison St,,
Ada St & Washington Blvd,6,,,6,Ada St & Washington Blvd,,
Adler Planetarium,7,,,7,Adler Planetarium,,
Albany Ave & 26th St,8,,,8,Albany Ave & 26th St,,
Albany Ave & Bloomingdale Ave,9,,,9,Albany Ave & Bloomingdale Ave,,
Albany Ave & Montrose Ave,10,,,10,Albany Ave & Montrose Ave,,
Artesian Ave & Hubbard St,11,,,11,Artesian Ave & Hubbard St,,
Ashland Ave & 13th St,12,,,12,Ashland Ave & 13th St,,
Ashland Ave & 21st St,13,,,13,Ashland Ave & 21st St,,
Ashland Ave & 50th St,14,,,14,Ashland Ave & 50th St,,
Ashland Ave & 63rd St,15,,,15,Ashland Ave & 63rd St,,
Ashland Ave & 66th St,16,,,16,Ashland Ave & 66th St,,
Ashland Ave & 69th St,17,,,17,Ashland Ave & 69th St,,
Ashland Ave & Archer Ave,18,,,18,Ashland Ave & Archer Ave,,
Ashland Ave & Armitage Ave,19,,,19,Ashland Ave & Armitage Ave,,
Ashland Ave & Augusta Blvd,20,,,20,Ashland Ave & Augusta Blvd,,
Ashland Ave & Belle Plaine Ave,21,,,21,Ashland Ave & Belle Plaine Ave,,
Ashland Ave & Blackhawk St,22,,,22,Ashland Ave & Blackhawk St,,
Ashland Ave & Chicago Ave,23,,,23,Ashland Ave & Chicago Ave,,
Ashland Ave & Division St,24,,,24,Ashland Ave & Division St,,
Ashland Ave & Garfield Blvd,25,,,25,Ashland Ave & Garfield Blvd,,
Ashland Ave & Grace St,26,,,26,Ashland Ave & Grace St,,
Ashland Ave & Grand Ave,27,,,27,Ashland Ave & Grand Ave,,
Ashland Ave & Harrison St,28,,,28,Ashland Ave & Harrison St,,
Ashland Ave & Lake St,29,,,29,Ashland Ave & Lake St,,
Ashland Ave & McDowell Ave,30,,,30,Ashland Ave & McDowell Ave,,
Ashland Ave & Pershing Rd,31,,,31,Ashland Ave & Pershing Rd,,
Ashland Ave & Wellington Ave,32,,,32,Ashland Ave & Wellington Ave,,
Ashland Ave & Wrightwood Ave,33,,,33,Ashland Ave & Wrightwood Ave,,
Austin Blvd & Chicago Ave,34,,,34,Austin Blvd & Chicago Ave,,
Austin Blvd & Lake St,35,,,35,Austin Blvd & Lake St,,
Austin Blvd & Madison St,36,,,36,Austin Blvd & Madison St,,
Avers Ave & Belmont Ave,37,,,37,Avers Ave & Belmont Ave,,
