trip_duration,usertype,number_of_trips
2,casual,16044
2,member,194400
3,member,445848
3,casual,20844
4,casual,30010
4,member,614820
5,member,685302
5,casual,40475
6,casual,50368
6,member,688090
7,casual,60514
7,member,660334
8,casual,70538
8,member,619281
9,member,566697
9,casual,78666
10,casual,86783
10,member,513032
11,member,459347
11,casual,92706
12,casual,97118
12,member,411038
13,member,368729
13,casual,101928
14,member,332130
14,casual,105118
15,member,298847
15,casual,108137
16,casual,111058
16,member,267826
17,casual,113749
17,member,239093
18,member,214649
18,casual,115289
19,casual,117722
19,member,192575
20,casual,118362
20,member,173431
21,member,155865
21,casual,118135
22,member,140210
22,casual,118391
23,casual,116468
23,member,124260
24,member,108658
24,casual,113500
25,member,93404
25,casual,109393
26,member,78561
26,casual,102622
27,member,64716
27,casual,96015
28,casual,88429
28,member,52760
29,casual,77965
29,member,40713
30,casual,68018
30,member,31205
31,casual,58232
31,member,23690
32,member,18376
32,casual,50398
33,casual,44072
33,member,14762
34,member,12307
34,casual,38657
35,member,10149
35,casual,34816
36,member,8495
36,casual,31793
37,member,7479
37,casual,28559
38,member,6316
38,casual,26167
39,casual,23959
39,member,5377
40,member,4699
40,casual,22509
41,casual,20598
41,member,4152
42,member,3719
42,casual,19256
43,casual,18260
43,member,3261
44,casual,17201
44,member,2964
45,member,2642
45,casual,16021
46,casual,15430
46,member,2420
47,casual,14611
47,member,2155
48,casual,13963
48,member,1947
49,member,1774
49,casual,13361
50,member,1602
50,casual,12553
51,casual,12260
51,member,1488
52,casual,11609
52,member,1370
53,member,1281
53,casual,10987
54,member,1182
54,casual,10596
55,member,1062
55,casual,10060
56,casual,9497
56,member,1038
57,member,929
57,casual,9144
58,casual,8564
58,member,854
59,casual,8215
59,member,763
60,member,676
60,casual,7624
61,casual,7306
61,member,673
62,casual,6739
62,member,636
63,casual,6431
63,member,556
64,member,545
64,casual,6205
65,member,528
65,casual,5906
66,casual,5680
66,member,529
67,casual,5479
67,member,438
68,member,471
68,casual,5215
69,member,406
69,casual,5051
70,member,399
70,casual,4766
71,member,351
71,casual,4843
72,casual,4525
72,member,334
73,casual,4406
73,member,366
74,member,309
74,casual,4299
75,casual,4167
75,member,354
76,casual,3978
76,member,307
77,casual,3968
77,member,301
78,member,296
78,casual,3723
79,casual,3695
79,member,272
80,casual,3603
80,member,259
81,member,245
81,casual,3450
82,member,251
82,casual,3374
83,member,217
83,casual,3209
84,member,195
84,casual,2979
85,member,214
85,casual,3063
86,member,188
86,casual,2973
87,member,204
87,casual,2940
88,member,207
88,casual,2748
89,member,228
89,casual,2574
90,member,187
90,casual,2558
91,casual,2491
91,member,182
92,member,177
92,casual,2389
93,casual,2334
93,member,154
94,member,151
94,casual,2265
95,casual,2157
95,member,143
96,member,149
96,casual,2155
97,casual,2044
97,member,143
98,member,152
98,casual,2020
99,casual,1998
99,member,143
100,member,124
100,casual,1891
101,member,127
101,casual,1830
102,casual,1849
102,member,124
103,casual,1808
103,member,141
104,member,126
104,casual,1749
105,member,127
105,casual,1684
106,casual,1660
106,member,107
107,member,109
107,casual,1517
108,casual,1557
108,member,97
109,casual,1558
109,member,105
110,member,123
110,casual,1522
111,casual,1341
111,member,125
112,member,109
112,casual,1416
113,member,102
113,casual,1374
114,member,106
114,casual,1277
115,casual,1343
115,member,100
116,member,87
116,casual,1262
117,casual,1239
117,member,95
118,casual,1175
118,member,114
119,casual,1142
119,member,93
120,casual,1136
120,member,85
121,member,65
121,casual,1116
122,casual,1075
122,member,66
123,member,77
123,casual,1030
124,member,82
124,casual,1018
125,casual,1021
125,member,75
126,member,82
126,casual,989
127,casual,928
127,member,67
128,casual,911
128,member,66
129,casual,914
129,member,72
130,member,73
130,casual,855
131,member,67
131,casual,837
132,casual,825
132,member,48
133,casual,763
133,member,77
134,casual,801
134,member,61
135,casual,791
135,member,72
136,casual,761
136,member,67
137,member,73
137,casual,735
138,casual,712
138,member,53
139,casual,721
139,member,69
140,casual,731
140,member,67
141,casual,646
141,member,59
142,member,64
142,casual,574
143,member,48
143,casual,657
144,casual,648
144,member,43
145,casual,617
145,member,64
146,member,42
146,casual,545
147,casual,570
147,member,49
148,casual,623
148,member,57
149,casual,557
149,member,41
150,casual,482
150,member,38
151,casual,528
151,member,47
152,member,45
152,casual,547
153,casual,489
153,member,40
154,member,52
154,casual,489
155,casual,492
155,member,39
156,casual,516
156,member,37
157,casual,471
157,member,31
158,member,45
158,casual,447
159,member,36
159,casual,462
160,member,41
160,casual,440
161,casual,431
161,member,45
162,member,49
162,casual,413
163,casual,442
163,member,38
164,member,50
164,casual,377
165,casual,378
165,member,36
166,member,38
166,casual,395
167,casual,393
167,member,32
168,member,33
168,casual,388
169,casual,337
169,member,45
170,member,30
170,casual,361
171,casual,349
171,member,30
172,casual,349
172,member,34
173,member,43
173,casual,358
174,casual,372
174,member,24
175,member,30
175,casual,338
176,member,25
176,casual,328
177,casual,297
177,member,31
178,casual,303
178,member,30
179,member,42
179,casual,283
180,casual,300
180,member,33
181,casual,286
181,member,23
182,casual,306
182,member,37
183,member,33
183,casual,294
184,casual,259
184,member,34
185,casual,277
185,member,30
186,member,23
186,casual,253
187,member,28
187,casual,265
188,member,33
188,casual,256
189,casual,249
189,member,27
190,member,24
190,casual,253
191,casual,232
191,member,29
192,casual,237
192,member,34
193,member,22
193,casual,208
194,member,26
194,casual,239
195,casual,228
195,member,29
196,casual,202
196,member,24
197,casual,191
197,member,27
198,casual,220
198,member,27
199,casual,210
199,member,29
200,member,25
200,casual,216
201,member,29
201,casual,197
202,casual,187
202,member,23
203,member,23
203,casual,178
204,member,31
204,casual,203
205,casual,187
205,member,22
206,casual,173
206,member,29
207,member,27
207,casual,177
208,casual,170
208,member,26
209,member,35
209,casual,195
210,member,24
210,casual,168
211,member,28
211,casual,202
212,member,25
212,casual,176
213,member,22
213,casual,196
214,casual,175
214,member,21
215,casual,163
215,member,20
216,casual,192
216,member,20
217,casual,165
217,member,21
218,casual,170
218,member,28
219,casual,204
219,member,24
220,casual,158
220,member,24
221,member,23
221,casual,142
222,member,25
222,casual,151
223,casual,159
223,member,24
224,member,24
224,casual,138
225,casual,124
225,member,23
226,casual,129
226,member,22
227,member,22
227,casual,155
228,member,18
228,casual,146
229,member,11
229,casual,119
230,casual,126
230,member,21
231,member,25
231,casual,120
232,member,20
232,casual,90
233,member,22
233,casual,121
234,member,15
234,casual,115
235,member,17
235,casual,120
236,member,21
236,casual,140
237,casual,122
237,member,22
238,member,19
238,casual,91
239,casual,125
239,member,27
240,member,15
240,casual,108
241,casual,111
241,member,20
242,member,21
242,casual,98
243,casual,122
243,member,20
244,casual,120
244,member,10
245,member,22
245,casual,97
246,casual,112
246,member,18
247,casual,112
247,member,24
248,member,15
248,casual,102
249,member,15
249,casual,102
250,member,19
250,casual,78
251,casual,71
251,member,24
252,casual,85
252,member,18
253,member,15
253,casual,88
254,casual,108
254,member,7
255,casual,85
255,member,13
256,member,10
256,casual,95
257,member,18
257,casual,101
258,casual,99
258,member,20
259,casual,83
259,member,13
260,member,17
260,casual,84
261,member,15
261,casual,79
262,member,26
262,casual,90
263,member,15
263,casual,75
264,member,17
264,casual,77
265,member,18
265,casual,88
266,member,12
266,casual,68
267,casual,71
267,member,16
268,member,10
268,casual,67
269,casual,84
269,member,15
270,casual,69
270,member,15
271,casual,72
271,member,14
272,member,18
272,casual,69
273,member,20
273,casual,59
274,casual,77
274,member,16
275,member,21
275,casual,63
276,casual,61
276,member,11
277,casual,66
277,member,9
278,member,7
278,casual,60
279,member,15
279,casual,60
280,casual,67
280,member,17
281,casual,60
281,member,13
282,casual,61
282,member,13
283,casual,62
283,member,12
284,member,15
284,casual,63
285,member,12
285,casual,67
286,casual,57
286,member,19
287,member,19
287,casual,65
288,member,9
288,casual,57
289,casual,51
289,member,9
290,casual,46
290,member,12
291,casual,52
291,member,17
292,member,12
292,casual,51
293,casual,43
293,member,19
294,casual,55
294,member,16
295,casual,43
295,member,6
296,member,20
296,casual,51
297,casual,57
297,member,14
298,casual,55
298,member,9
299,member,15
299,casual,41
300,member,9
300,casual,46
301,member,12
301,casual,40
302,casual,34
302,member,19
303,member,16
303,casual,48
304,member,17
304,casual,40
305,casual,54
305,member,17
306,member,12
306,casual,35
307,casual,49
307,member,11
308,member,11
308,casual,42
309,casual,55
309,member,15
310,member,12
310,casual,51
311,member,12
311,casual,49
312,member,12
312,casual,38
313,member,13
313,casual,41
314,member,10
314,casual,48
315,casual,38
315,member,12
316,member,13
316,casual,56
317,casual,42
317,member,7
318,member,6
318,casual,38
319,casual,35
319,member,11
320,casual,37
320,member,10
321,member,11
321,casual,39
322,member,9
322,casual,41
323,member,11
323,casual,36
324,casual,43
324,member,14
325,casual,38
325,member,11
326,member,6
326,casual,41
327,member,14
327,casual,38
328,casual,32
328,member,16
329,member,16
329,casual,40
330,casual,29
330,member,6
331,member,9
331,casual,47
332,member,10
332,casual,35
333,member,10
333,casual,30
334,casual,28
334,member,6
335,casual,36
335,member,6
336,casual,38
336,member,10
337,casual,29
337,member,7
338,member,12
338,casual,32
339,casual,35
339,member,2
340,casual,32
340,member,6
341,member,14
341,casual,39
342,casual,48
342,member,6
343,member,8
343,casual,38
344,member,5
344,casual,32
345,member,13
345,casual,31
346,member,13
346,casual,34
347,member,8
347,casual,29
348,member,10
348,casual,35
349,member,7
349,casual,30
350,casual,31
350,member,12
351,member,7
351,casual,33
352,casual,29
352,member,11
353,member,11
353,casual,34
354,casual,21
354,member,9
