id,name,lat,lng,cap
1,2112 W Peterson Ave,41.9911766,-87.6835938,15
2,63rd St Beach,41.7810173,-87.5761185,23
3,900 W Harrison St,41.8747158,-87.6499138,19
4,Aberdeen St & Jackson Blvd,41.8777275,-87.6547852,15
5,Aberdeen St & Madison St,41.8814888,-87.6547546,19
6,Ada St & Washington Blvd,41.8828316,-87.6612091,15
7,Adler Planetarium,41.8660965,-87.6072693,31
8,Albany Ave & 26th St,41.8444748,-87.7020111,15
9,Albany Ave & Bloomingdale Ave,41.9140282,-87.7051239,15
10,Albany Ave & Montrose Ave,41.9610405,-87.705864,15
11,Artesian Ave & Hubbard St,41.889492,-87.6882172,35
12,Ashland Ave & 13th St,41.8652344,-87.6665039,15
13,Ashland Ave & 21st St,41.8538094,-87.6658936,15
14,Ashland Ave & 50th St,41.8030243,-87.6646957,11
15,Ashland Ave & 63rd St,41.7793732,-87.6648407,15
16,Ashland Ave & 66th St,41.7740746,-87.6638184,11
17,Ashland Ave & 69th St,41.7687263,-87.6640701,11
18,Ashland Ave & Archer Ave,41.8392105,-87.6656113,17
19,Ashland Ave & Armitage Ave,41.9178581,-87.6689224,15
20,Ashland Ave & Augusta Blvd,41.8996429,-87.6677017,15
21,Ashland Ave & Belle Plaine Ave,41.9560623,-87.668869,11
22,Ashland Ave & Blackhawk St,41.9070663,-87.6672516,15
23,Ashland Ave & Chicago Ave,41.8959656,-87.6677475,15
24,Ashland Ave & Division St,41.9034513,-87.6682765,19
25,Ashland Ave & Garfield Blvd,41.7928238,-87.6644287,11
26,Ashland Ave & Grace St,41.9506874,-87.6687012,15
27,Ashland Ave & Grand Ave,41.8910713,-87.6666107,15
28,Ashland Ave & Harrison St,41.8742924,-87.667263,23
29,Ashland Ave & Lake St,41.8854103,-87.6673203,19
30,Ashland Ave & McDowell Ave,41.8088684,-87.6645432,11
31,Ashland Ave & Pershing Rd,41.8234634,-87.6655807,11
32,Ashland Ave & Wellington Ave,41.9360847,-87.6698074,19
33,Ashland Ave & Wrightwood Ave,41.9288292,-87.6685104,15
34,Austin Blvd & Chicago Ave,41.894886,-87.774704,11
35,Austin Blvd & Lake St,41.8879204,-87.7744446,15
36,Austin Blvd & Madison St,41.8802795,-87.7744522,15
37,Avers Ave & Belmont Ave,41.9394073,-87.7231242,13
38,Avondale Ave & Irving Park Rd,41.953392,-87.7320023,19
39,Bennett Ave & 79th St,41.7517853,-87.5784988,11
40,Benson Ave & Church St,42.048214,-87.6834869,15
41,Bissell St & Armitage Ave,41.9184418,-87.6522217,15
42,Blackstone Ave & Hyde Park Blvd,41.8025627,-87.5903702,17
43,Blue Island Ave & 18th St,41.8575554,-87.6615372,15
44,Bosworth Ave & Howard St,42.0195389,-87.6695633,15
45,Broadway & Argyle St,41.9733944,-87.6596489,15
46,Broadway & Barry Ave,41.9376974,-87.6440735,16
47,Broadway & Belmont Ave,41.9401054,-87.6454544,17
