from_station_name,start_lat,start_lng,usertype,number_of_trips
Jeffery Blvd & 76th St,41.7571182250977,-87.5758361816406,casual,156
Pulaski Rd & Eddy St,41.9456367492676,-87.7277374267578,member,583
Ogden Ave & Congress Pkwy,41.8750114440918,-87.6732788085938,member,9354
Lake Shore Dr & Belmont Ave,41.9407768249512,-87.6391906738281,casual,25679
Ravenswood Ave & Irving Park Rd,41.9546890258789,-87.6739273071289,casual,2252
May St & Fulton St,41.8867721557617,-87.6559982299805,casual,1627
Morgan Ave & 14th Pl,41.862377166748,-87.6510620117188,member,15312
State St & Harrison St,41.8740081787109,-87.6277236938477,member,23180
Wacker Dr & Washington St,41.8832015991211,-87.637321472168,casual,2598
Cityfront Plaza Dr & Pioneer Ct,41.8904647827148,-87.6220855712891,casual,12634
Blackstone Ave & Hyde Park Blvd,41.802562713623,-87.5903701782227,casual,3426
Adler Planetarium,41.866096496582,-87.6072692871094,member,15461
Lincoln Ave & Armitage Ave,41.9182739257813,-87.6381149291992,casual,3557
Franklin St & Jackson Blvd,41.8777084350586,-87.6353225708008,member,67847
Ashland Ave & Chicago Ave,41.8959655761719,-87.6677474975586,member,19587
Columbus Dr & Randolph St,41.8848686218262,-87.6198348999023,member,85676
May St & Randolph St,41.8839683532715,-87.6556854248047,casual,2761
Chicago Ave & Dempster St,42.041690826416,-87.6806869506836,casual,141
Pulaski Rd & Congress Pkwy,41.874324798584,-87.725700378418,member,115
Lake Shore Dr & Wellington Ave,41.9366683959961,-87.6367950439453,casual,20219
Broadway & Waveland Ave,41.9491920471191,-87.6486129760742,casual,4693
Commercial Ave & 83rd St,41.7446060180664,-87.5512008666992,member,8
Wabash Ave & Wacker Pl,41.8868751525879,-87.6260299682617,casual,17322
Wentworth Ave & 24th St,41.849235534668,-87.6317138671875,member,3498
Shore Dr & 55th St,41.7952117919922,-87.5807113647461,casual,3944
McClurg Ct & Illinois St,41.8908004760742,-87.6173782348633,casual,47893
Halsted St & Madison St,41.8817481994629,-87.6477966308594,casual,3658
Central Park Ave & Ogden Ave,41.8542060852051,-87.7154083251953,casual,170
Marshfield Ave & 59th St,41.7868347167969,-87.6662139892578,casual,7
Leavitt St & Hirsch St,41.9067153930664,-87.6827774047852,casual,756
Clarendon Ave & Junior Ter,41.9610023498535,-87.6496047973633,member,17177
Paulina Ave & North Ave,41.9103355407715,-87.6700744628906,casual,1439
Oak Park Ave & South Blvd,41.8869247436523,-87.7938995361328,casual,161
Michigan Ave & Washington St,41.8838920593262,-87.6246490478516,member,68521
